date;senders;receivers
1938-06-27;"Planck, Max (1858-1947); Preußische Akademie der Wissenschaften (1918-1946)";Heisenberg, Werner (1901-1976)
1932-05-09;"Heisenberg, Werner (1901-1976); Universität Leipzig (Leipzig). Institut für Theoretische Physik";Rosenfeld, Léon (1904-1974)
1937-04-29;Heisenberg, Werner (1901-1976);"Renninger, Mauritius (1905-1987); Philipps-Universität Marburg. Kristallographisches Institut"
1938-10-27;Unbekannt;Heisenberg, Elisabeth (1914-1998)
1938-09-10;Blackett, Patrick M. S. (1897-1974);Heisenberg, Werner (1901-1976)
1931-12-16;Broglie, Louis de (1892-1987);Heisenberg, Werner (1901-1976)
1934-11-10;"Debye, Peter J. W. (1884-1966); Université de Liège. Institut de Chimie Générale";Heisenberg, Werner (1901-1976)
1935-03-17;Debye, Peter J. W. (1884-1966);Heisenberg, Werner (1901-1976)
1935-05-20;"Debye, Peter J. W. (1884-1966); Kaiser-Wilhelm-Institut für Physikalische Forschung (1917-1945)";"Heisenberg, Werner (1901-1976); Universität Leipzig (Leipzig). Institut für Theoretische Physik"
1938-11-20;Ehrenfest, Paul Jr.;"Heisenberg, Werner (1901-1976); Euler, Hans (1909-)"
1934-07-14;"Eucken, Arnold (1884-1950); Institut für Physikalische Chemie (Göttingen)";Heisenberg, Werner (1901-1976)
1934-01-30;"Fermi, Enrico (1901-1954); Istituto di Fisica G. Marconi (Rom)";Heisenberg, Werner (1901-1976)
1934-02-08;"Fermi, Enrico (1901-1954); Istituto di Fisica G. Marconi (Rom)";Heisenberg, Werner (1901-1976)
1933-11-30;"Fowler, R. H.; Cavendish Laboratory (1873-)";"Heisenberg, Werner (1901-1976); Universität Leipzig (Leipzig). Institut für Theoretische Physik"
1934-07-17;"Fowler, R. H.; Cavendish Laboratory (1873-)";Heisenberg, Werner (1901-1976)
1934-02-15;Gamow, George (1904-1968);Heisenberg, Werner (1901-1976)
1934-02-28;Gamow, George (1904-1968);Heisenberg, Werner (1901-1976)
1937-03-15;Hahn, Otto (1879-1968);Heisenberg, Werner (1901-1976)
1932-12-11;"Born, Max (1882-1970); Born, Hedwig Martha (1891-1972); Heisenberg, Werner (1901-1976)";Heisenberg, Anna (1871-1945)
1933-03-31;Maar, Mariane;Heisenberg, Werner (1901-1976)
1933-04-24;Maar, Mariane;Heisenberg, Werner (1901-1976)
1933-06-05;Maar, Mariane;Heisenberg, Werner (1901-1976)
1933-07-17;"Peierls, Rudolf Ernst (1907-1995); Cavendish Laboratory (1873-)";Pauli, Wolfgang (1900-1958)
1934-07-28;"Placzek, Georg; Københavns Universitet. Institut for Teoretisk Fysik (1921-1974)";Heisenberg, Werner (1901-1976)
1934-04-15;Placzek, Georg;Heisenberg, Werner (1901-1976)
1934-03-26;"Rutherford, Ernest (1871-1937); Cavendish Laboratory (1873-)";Heisenberg, Werner (1901-1976)
1933-10-11;"Sauter, Fritz (1906-1983); Technische Hochschule Berlin. Institut für Theoretische Physik";Heisenberg, Werner (1901-1976)
1938;"Wataghin, Gleb (1899-1986); Universidade de São Paulo (1934-)";Heisenberg, Werner (1901-1976)
1934-05-01;"Weisskopf, Victor Frederick (1908-2002); Eidgenössische Technische Hochschule Zürich. Physikalisches Institut";Heisenberg, Werner (1901-1976)
1934-05-03;"Weisskopf, Victor Frederick (1908-2002); Eidgenössische Technische Hochschule Zürich. Physikalisches Institut";Heisenberg, Werner (1901-1976)
1934-05-16;Weisskopf, Victor Frederick (1908-2002);Heisenberg, Werner (1901-1976)
1934-09-21;"Weisskopf, Victor Frederick (1908-2002); Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Physikalisches Institut";Heisenberg, Werner (1901-1976)
1934-10-13;"Weisskopf, Victor Frederick (1908-2002); Eidgenössische Technische Hochschule Zürich. Physikalisches Institut";Heisenberg, Werner (1901-1976)
1935-02-09;Weisskopf, Victor Frederick (1908-2002);Oppenheimer, J. Robert (1904-1967)
1900;"Plutzar, Friedrich; Deutsches Reich. Reichskommissar für die Besetzten Niederländischen Gebiete (1940-1945)";"Heisenberg, Werner (1901-1976); Generalverwaltung der Kaiser-Wilhelm-Gesellschaft"
1931-09-18;Leyden, Rolf van;Heisenberg, Werner (1901-1976)
1858-04-21;Sander, Ernst;Max-Planck-Gesellschaft zur Förderung der Wissenschaften (1948-)
1858-04-24;"Pfuhl, Kurt; Max-Planck-Gesellschaft zur Förderung der Wissenschaften (1948-)";"Glaser, Helmut (1906-1985); Max-Planck-Institut für Strömungsforschung (Göttingen) (1946-2004)"
1872-06-10;Fleitmann, Karl-Heinz [vermutlich];"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)"
1937-07-16;Sommerfeld, Arnold (1868-1951);Heisenberg, Werner (1901-1976)
1900;"Chipchin, Nelson O. (1911-1997); USA. Consulate General (München)";Heisenberg, Werner (1901-1976)
1932-10-06;"Nishina, Yoshio; Fujioka, Yoshio (1903-1976) [vermutlich]; Sugiura, Yoshikatsu";Heisenberg, Werner (1901-1976) [vermutlich]
1923-11-23;"Bechtle, Otto Wolfgang (1918-2012); Bechtle-Verlag (Esslingen) (1868-)";Heisenberg, Werner (1901-1976)
1920-07-21;Bersin, Theodor;Heisenberg, Werner (1901-1976)
1900;Kaiser-Wilhelm-Institut für Physikalische Forschung. Direktion. Sekretariat;Deutsche Kongress-Zentrale (Berlin)
1938-10;"Abb, Gustav (1886-1945); Bieberbach, Ludwig (1886-1982); Universitäts-Bibliothek Berlin (1831-1946)";Friedrich-Wilhelms-Universität Berlin (1828-1946)
1934-05-11;Waerden, Bartel L. van der (1903-1996);Heisenberg, Werner (1901-1976)
1927-08-26;Heisenberg, Werner (1901-1976);Wägele, Rolf
1928-05-04;Heisenberg, Werner (1901-1976);Wägele, Rolf
1928-12-06;Heisenberg, Werner (1901-1976);Wägele, Rolf
1936-10-22;Heisenberg, Werner (1901-1976);Wägele, Rolf
1935-12-18;Heisenberg, Werner (1901-1976);Wägele, Rolf
1936-05-24;Heisenberg, Werner (1901-1976);Wägele, Rolf
1935-10-10;Heisenberg, Werner (1901-1976);Wägele, Rolf
1929-05-11;Heisenberg, Werner (1901-1976);Wägele, Rolf
1933-09-28;Heisenberg, Werner (1901-1976);Wägele, Rolf
1932-12-29;Heisenberg, Werner (1901-1976);Wägele, Rolf
1934-06-09;Heisenberg, Werner (1901-1976);Wägele, Rolf
1928-05-04;Heisenberg, Werner (1901-1976);Wägele, Rolf
1900;"Goergen, Aloys (1911-2005); Akademie der Bildenden Künste München (1808-)";Heisenberg, Werner (1901-1976)
1874-02-18;Pfeiffer, Heinrich (1927-2016);Heisenberg, Werner (1901-1976)
1923-10-01;Unbekannt;Heisenberg, Werner (1901-1976)
1938-02-21;"Frisch, Otto Robert (1904-1979) [vermutlich]; Møller, Christian (1904-1980); Placzek, Georg; Rosenfeld, Léon (1904-1974) [vermutlich]; Unbekannt; Københavns Universitet. Institut for Teoretisk Fysik (1921-1974)";Heisenberg, Werner (1901-1976)
1938-10-22;"Bloch, Felix (1905-1983); Stanford University. Department of Physics";Heisenberg, Werner (1901-1976)
1937-08-06;Bonhoeffer, Karl F. (1899-1957);Heisenberg, Werner (1901-1976)
1937-03-30;"Born, Max (1882-1970); University of Edinburgh. Department of Mathematical Physics";Heisenberg, Werner (1901-1976) [vermutlich]
1934-04-04;Born, Max (1882-1970);Heisenberg, Werner (1901-1976)
1933-07-04;Born, Max (1882-1970);Heisenberg, Werner (1901-1976)
1933-06-11;Born, Max (1882-1970);Heisenberg, Werner (1901-1976)
1933-10-23;Casimir, Hendrik Brugt Gerhard (1909-2000) [vermutlich];Heisenberg, Werner (1901-1976)
1934-04-29;Courant, Richard (1888-1972);Heisenberg, Werner (1901-1976)
1933-12-26;Courant, Richard (1888-1972);Heisenberg, Werner (1901-1976)
1937-04-12;Delbrück, Max (1906-1981);Heisenberg, Werner (1901-1976)
1933-11-11;Dirac, P. A. M. (1902-1984);Pauli, Wolfgang (1900-1958)
1933-12-07;Dirac, P. A. M. (1902-1984);Pauli, Wolfgang (1900-1958)
1933-07-05;Eucken, Arnold (1884-1950);Heisenberg, Werner (1901-1976)
1933-10-05;Fürth, Reinhold (1893-1979);Heisenberg, Werner (1901-1976)
1934-06-13;"Geiger, Hans (1882-1945); Eberhard Karls Universität Tübingen. Physikalisches Institut";Heisenberg, Werner (1901-1976)
1933-12-01;"Geiger, Hans (1882-1945); Eberhard Karls Universität Tübingen. Physikalisches Institut";Heisenberg, Werner (1901-1976)
1937-03-12;Gerlach, Walther (1889-1979);Heisenberg, Werner (1901-1976)
1939-02-11;"Haas, Wander Johannes de (1878-1960); Kamerlingh Onnes Laboratorium";Heisenberg, Werner (1901-1976)
1938-10-14;;"Heisenberg, Werner (1901-1976); Universität Leipzig (Leipzig). Institut für Theoretische Physik"
1937-03-27;Hund, Friedrich (1896-1997);Heisenberg, Werner (1901-1976)
1934-06-06;Jordan, Pascual (1902-1980);Heisenberg, Werner (1901-1976)
1938-01-14;Kienle, Hans (1895-1975);Heisenberg, Werner (1901-1976)
1935-06-03;"Kramers, Hendrik Anthony (1894-1952); Kamerlingh Onnes Laboratorium";Heisenberg, Werner (1901-1976)
1935-04-26;"Kramers, Hendrik Anthony (1894-1952); Kamerlingh Onnes Laboratorium";Heisenberg, Werner (1901-1976)
1934-09-10;"Kramers, Hendrik Anthony (1894-1952); Physisch Laboratorium (Utrecht)";Heisenberg, Werner (1901-1976)
1934-08-02;Kramers, Hendrik Anthony (1894-1952);Heisenberg, Werner (1901-1976)
1934-05-18;"Kramers, Hendrik Anthony (1894-1952); Physisch Laboratorium (Utrecht)";Heisenberg, Werner (1901-1976)
1934-02-28;"Kramers, Hendrik Anthony (1894-1952); Physisch Laboratorium (Utrecht)";Heisenberg, Werner (1901-1976)
1933-12-15;"Kramers, Hendrik Anthony (1894-1952); Physisch Laboratorium (Utrecht)";Heisenberg, Werner (1901-1976)
