date;senders;receivers
o.D.;Wegerhoff, Karl Hermann (1926-);Heisenberg, Werner (1901-1976)
1967-11-03;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Christian-Wegner-Verlag
1967-09-05;"Honeit, Maria; Christian-Wegner-Verlag";Heisenberg, Werner (1901-1976)
1966-12-09;"Neunzig, Hans A.; Christian-Wegner-Verlag";Heisenberg, Werner (1901-1976)
1966-12-19;Heisenberg, Werner (1901-1976);"Neunzig, Hans A.; Christian-Wegner-Verlag"
1971-02-02;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Wehling, Wilfried
1971-01-23;Wehling, Wilfried;Heisenberg, Werner (1901-1976)
1973-05-23;Heisenberg, Werner (1901-1976);Wehr, Günther [vermutlich]
1967-06-14;Heisenberg, Werner (1901-1976);"Wehrmann, O. H.; Boeing Scientific Laboratories (Seattle)"
1967-06-05;"Wehrmann, O. H.; Boeing Scientific Laboratories (Seattle)";Heisenberg, Werner (1901-1976)
1973-03-12;Wehrt, Hartmut [vermutlich];Giese, Annemarie
1973-02-03;Wehrt, Hartmut [vermutlich];Giese, Annemarie
1971-10-18;Giese, Annemarie;Wehrt, Hartmut
1970-11-06;Wehrt, Hartmut [vermutlich];Giese, Annemarie
1968-09-09;Wehrt, Hartmut [vermutlich];Giese, Annemarie
1968-09-04;Wehrt, Hartmut [vermutlich];Giese, Annemarie
1966-09-21;Giese, Annemarie;Wehrt, Hartmut
1966-09-19;Wehrt, Hartmut [vermutlich];Giese, Annemarie
1966-08-17;Giese, Annemarie;Wehrt, Hartmut
1966;Wehrt, Hartmut [vermutlich];Giese, Annemarie
1959-07-07;"Wei, L. Y.; University of Washington. Department of Electrical Engineering (-2018)";Heisenberg, Werner (1901-1976)
1968;Weibel-Baron, L.;Heisenberg, Werner (1901-1976) [vermutlich]
1968-02-10;Weibel-Baron, L.;Heisenberg, Werner (1901-1976)
1968-03-07;Heisenberg, Werner (1901-1976);Weidauer, Klaus (1921-2013)
1968-02-26;"Weidauer, Klaus (1921-2013); Schule Birklehof (1932-)";Heisenberg, Werner (1901-1976)
1968-02-22;Heisenberg, Werner (1901-1976);"Weidauer, Klaus (1921-2013); Schule Birklehof (1932-)"
1968-02-14;"Weidauer, Klaus (1921-2013); Schule Birklehof (1932-)";Heisenberg, Werner (1901-1976)
1953-05-14;Weidauer, Elisabeth;Heisenberg, Werner (1901-1976)
1970-12-18;"Acker, Bernd; Universität Karlsruhe. Institut für Technische Mechanik (-2009)";Heisenberg, Werner (1901-1976)
1959-06-02;Lüders, Gerhart (1920-1995);"Weidenmüller, Hans-Arwed (1933-); University of Minnesota. Department of Physics"
1959-06-10;Lüders, Gerhart (1920-1995);"Weidenmüller, Hans-Arwed (1933-); University of Minnesota. Department of Physics"
1959-06-15;"Weidenmüller, Hans-Arwed (1933-); University of Minnesota. Department of Physics";Lüders, Gerhart (1920-1995)
1959-06-23;Lüders, Gerhart (1920-1995);"Weidenmüller, Hans-Arwed (1933-); University of Minnesota. Department of Physics"
1958-11-03;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Weidner, Julius
1958-07-28;Weidner, Julius;Heisenberg, Werner (1901-1976)
1957-05-24;Heisenberg, Werner (1901-1976);Weidner, Julius
1958-05-22;Weidner, Julius;Heisenberg, Werner (1901-1976)
1957-05-01;Weidner, Julius;Heisenberg, Werner (1901-1976)
1956-09-10;Weidner, Julius;Heisenberg, Werner (1901-1976)
